result_GT_citation,result_GT_paper
5,2516
7,1381
8,1200
9,1025
10,831
11,1248
13,500
14,407
15,385
16,304
17,291
18,250
19,212
20,193
21,181
22,150
23,260
25,92
26,108
27,98
28,138
30,64
31,58
32,63
33,48
34,39
35,45
36,40
37,32
38,58
39,39
40,27
41,39
42,29
43,20
44,26
45,21
46,42
47,30
49,21
50,21
51,19
52,26
53,18
54,16
55,12
56,12
57,12
58,6
59,9
60,12
61,12
62,9
63,13
64,8
65,5
66,5
67,4
68,4
69,9
70,4
71,7
72,2
73,9
74,7
75,5
76,3
77,5
78,5
79,1
80,3
81,1
82,8
83,3
84,4
85,6
86,1
87,5
88,5
89,3
90,2
91,4
92,3
93,3
95,5
97,1
99,4
100,3
101,1
103,1
104,4
106,1
107,1
110,1
112,1
113,2
114,2
115,4
117,3
119,1
120,3
121,1
122,1
124,1
125,1
126,2
133,1
136,3
137,1
139,1
140,1
141,2
144,1
149,1
150,1
151,1
152,1
155,1
156,1
162,1
163,1
167,2
168,2
175,1
176,1
180,1
187,3
189,1
194,1
195,1
198,1
200,1
204,1
205,1
208,1
209,1
218,1
220,1
234,1
237,1
239,1
240,1
245,1
247,1
253,1
257,1
279,1
348,1
391,1
422,1
