citations,result_predict_paper,result_GT_paper
1,13,0
2,111,0
3,129,0
4,294,0
5,414,961
6,523,0
7,671,756
8,696,797
9,789,782
10,713,741
11,652,1302
12,616,591
13,612,0
14,538,505
15,467,481
16,418,842
17,375,0
18,305,342
19,268,284
20,266,340
21,234,495
22,227,0
23,199,432
24,182,0
25,174,351
26,178,0
27,169,166
28,154,127
29,116,114
30,114,139
31,102,117
32,110,111
33,103,106
34,96,93
35,91,84
36,77,70
37,62,94
38,65,49
39,72,55
40,58,71
41,72,59
42,52,43
43,52,47
44,44,60
45,34,56
46,32,39
47,40,69
48,26,0
49,43,31
50,31,29
51,34,92
52,41,0
53,31,35
54,32,28
55,37,34
56,27,28
57,28,26
58,24,54
59,27,0
60,22,30
61,25,16
62,30,22
63,17,24
64,16,20
65,20,20
66,21,20
67,14,23
68,22,11
69,23,21
70,19,14
71,13,14
72,11,4
73,19,21
74,13,12
75,12,14
76,14,16
77,15,8
78,17,7
79,10,12
80,5,16
81,8,11
82,12,13
83,7,14
84,5,14
85,13,12
86,6,13
87,8,6
88,12,6
89,6,8
90,6,6
91,7,8
92,5,6
93,7,10
94,11,11
95,14,13
96,2,9
97,7,0
98,7,3
99,5,7
100,8,6
101,7,3
102,7,3
103,2,8
104,3,0
105,4,4
106,5,7
107,6,12
108,4,8
109,2,4
110,4,6
111,6,0
112,3,3
113,4,3
114,8,8
115,3,3
116,1,1
117,2,10
118,1,0
119,5,5
120,5,2
121,1,1
122,4,2
123,4,4
124,5,6
125,5,0
126,4,5
127,2,2
128,4,5
129,1,3
130,4,4
131,2,4
132,2,3
133,1,3
134,5,2
135,3,1
136,0,2
137,3,3
138,4,1
139,2,1
140,2,2
141,3,2
142,1,2
143,2,3
144,3,1
145,3,4
146,1,2
147,0,3
148,1,1
149,1,3
150,2,1
151,0,1
152,6,3
153,2,2
154,0,1
155,1,2
156,2,4
157,2,1
158,0,3
159,1,1
160,0,3
162,0,1
163,1,0
164,0,2
165,1,1
166,4,2
167,3,0
169,1,4
170,1,0
171,1,2
173,1,1
174,0,1
177,1,2
179,1,1
180,3,0
181,0,1
182,1,1
183,1,2
184,1,0
185,1,0
186,1,1
187,1,1
188,0,1
189,0,1
190,0,2
192,3,0
195,2,0
196,0,1
197,1,1
199,2,0
200,0,1
203,0,1
204,1,1
205,2,1
207,2,1
208,1,0
210,0,1
212,0,2
213,1,1
215,1,0
216,1,0
217,1,0
218,1,1
219,1,0
220,1,1
221,0,3
224,2,0
225,1,2
226,1,2
227,0,1
228,0,2
233,2,0
240,0,1
243,1,0
245,3,0
246,0,1
248,1,1
249,0,1
251,0,1
252,1,1
253,0,1
254,1,0
260,0,1
262,1,0
265,0,1
266,1,0
267,1,0
271,1,1
274,0,1
281,1,0
282,1,2
283,0,1
285,1,0
291,1,0
296,0,2
297,1,0
300,0,1
301,1,0
302,0,1
303,1,0
304,0,1
307,0,1
313,3,1
314,0,1
315,2,0
319,0,3
321,1,0
322,0,1
324,0,1
328,0,1
332,1,0
337,0,1
338,0,1
340,1,0
351,1,0
352,0,1
353,1,0
356,0,1
365,0,1
374,1,0
387,0,1
392,0,1
395,1,0
396,0,2
402,1,0
415,0,1
418,1,0
423,0,1
425,1,0
426,0,1
427,1,0
439,1,0
440,0,1
442,0,1
443,0,1
447,0,1
462,1,0
464,1,0
484,0,1
499,1,0
523,0,1
530,0,1
569,1,0
597,1,0
611,0,1
634,0,1
693,0,1
705,1,0
1004,0,1
