citations,result_predict_paper,result_GT_paper
4,87,0
5,1317,2516
6,1784,0
7,1451,1381
8,1039,1200
9,957,1025
10,753,831
11,625,1248
12,508,0
13,428,500
14,387,407
15,318,385
16,280,304
17,287,291
18,243,250
19,214,212
20,172,193
21,175,181
22,136,150
23,119,260
24,100,0
25,101,92
26,92,108
27,87,98
28,83,138
29,63,0
30,52,64
31,55,58
32,67,63
33,54,48
34,45,39
35,49,45
36,35,40
37,50,32
38,29,58
39,46,39
40,26,27
41,24,39
42,29,29
43,34,20
44,26,26
45,26,21
46,21,42
47,18,30
48,17,0
49,16,21
50,16,21
51,16,19
52,16,26
53,19,18
54,13,16
55,12,12
56,10,12
57,10,12
58,9,6
59,12,9
60,8,12
61,12,12
62,15,9
63,8,13
64,10,8
65,7,5
66,8,5
67,7,4
68,8,4
69,5,9
70,3,4
71,4,7
72,7,2
73,7,9
74,2,7
75,1,5
76,7,3
77,5,5
78,7,5
79,1,1
80,8,3
81,3,1
82,4,8
83,2,3
84,2,4
85,4,6
86,3,1
87,2,5
88,4,5
89,3,3
90,3,2
91,2,4
92,4,3
93,2,3
94,6,0
95,0,5
96,2,0
97,5,1
98,1,0
99,0,4
100,2,3
101,3,1
102,3,0
103,1,1
104,1,4
105,1,0
106,3,1
107,1,1
108,1,0
109,1,0
110,2,1
112,2,1
113,1,2
114,4,2
115,4,4
117,3,3
119,1,1
120,1,3
121,0,1
122,0,1
124,1,1
125,0,1
126,1,2
127,1,0
128,2,0
129,2,0
131,1,0
132,1,0
133,2,1
136,1,3
137,0,1
139,1,1
140,1,1
141,0,2
143,1,0
144,0,1
149,1,1
150,0,1
151,0,1
152,0,1
155,2,1
156,0,1
159,1,0
160,2,0
162,0,1
163,1,1
167,0,2
168,0,2
171,1,0
172,1,0
174,1,0
175,0,1
176,2,1
180,1,1
183,1,0
187,2,3
189,1,1
190,1,0
192,1,0
194,1,1
195,0,1
198,0,1
200,0,1
204,0,1
205,2,1
208,1,1
209,0,1
211,1,0
216,3,0
218,0,1
220,0,1
227,1,0
234,0,1
237,1,1
239,0,1
240,0,1
241,1,0
245,0,1
247,0,1
248,1,0
249,1,0
253,0,1
257,0,1
263,1,0
279,0,1
296,1,0
302,1,0
316,1,0
348,0,1
391,0,1
395,1,0
422,0,1
