result_GT_citation,result_GT_paper
8,899
12,653
6,763
17,376
7,888
28,119
10,786
65,19
38,50
103,5
18,329
9,868
20,248
5,445
13,590
15,445
19,306
139,3
14,486
22,420
11,765
25,161
41,51
37,59
16,448
29,112
58,23
35,76
44,34
45,82
55,27
53,27
43,30
77,12
33,84
223,1
63,20
26,156
21,260
24,174
61,19
51,34
54,26
27,147
76,9
78,13
80,11
30,125
140,1
46,43
42,41
110,6
39,67
120,5
31,105
69,13
60,23
72,12
62,19
158,1
129,4
75,20
145,2
83,9
40,53
104,6
84,9
48,32
73,13
57,12
64,17
92,8
448,1
49,36
36,65
165,1
106,3
34,76
32,84
52,28
114,7
56,22
91,3
243,2
276,2
154,1
261,1
90,13
124,2
283,1
267,2
99,5
193,2
257,1
199,1
98,3
82,12
59,26
67,15
250,3
66,13
74,16
379,1
156,1
113,2
50,33
108,6
70,10
88,2
252,2
81,4
119,4
121,1
164,2
96,5
109,4
196,1
87,8
86,12
133,2
216,1
93,5
85,10
146,2
482,1
100,7
102,2
392,1
68,12
375,1
181,3
128,2
141,2
126,2
178,1
71,15
143,2
122,2
112,2
127,4
218,1
259,1
125,7
160,2
207,1
173,1
132,1
94,5
142,1
148,2
97,4
191,2
153,2
135,4
295,1
89,3
79,6
426,1
101,3
137,1
155,1
111,3
194,1
215,2
123,3
130,2
209,1
138,1
224,1
805,1
321,2
287,1
105,2
323,1
189,1
394,1
149,1
144,1
316,1
183,1
477,1
304,1
161,1
273,1
195,1
239,1
115,1
117,2
203,1
254,2
192,1
162,1
131,1
118,1
248,1
340,1
185,1
649,1
147,1
430,1
312,1
166,2
116,2
314,1
358,1
107,1
270,1
