result_predict_citation,result_predict_paper
9,963
17,351
7,905
19,265
22,232
15,417
8,983
48,38
26,149
50,40
18,277
24,173
10,854
16,380
23,191
20,246
14,532
12,691
158,2
11,787
6,716
5,374
28,133
13,567
25,158
47,36
36,56
53,23
33,78
38,43
43,35
21,224
27,148
70,8
89,8
51,27
42,42
41,47
229,1
87,7
30,114
44,39
45,35
79,3
31,80
75,10
49,28
60,15
137,3
58,17
4,158
39,51
63,23
109,7
37,67
83,8
68,13
62,23
29,112
187,1
110,3
88,13
122,4
114,3
107,4
34,88
61,15
52,33
74,10
108,4
578,1
69,10
131,3
32,84
35,72
46,44
65,19
153,1
77,12
102,6
97,5
84,11
40,45
64,20
162,2
263,1
150,2
113,4
246,2
111,2
59,20
411,1
283,1
139,2
174,1
91,7
117,2
218,2
100,3
101,8
55,21
348,1
57,24
66,12
80,12
185,1
72,13
90,6
76,13
54,33
105,2
92,3
78,10
81,8
265,2
95,3
56,21
67,11
125,3
213,1
136,2
221,1
151,1
99,5
93,3
73,10
232,1
98,5
369,2
112,3
85,4
356,1
103,4
168,2
190,2
127,1
166,1
71,10
267,1
142,2
119,2
227,1
176,1
120,1
149,1
121,6
183,2
104,2
182,1
148,2
155,3
266,1
317,1
163,1
118,2
208,1
123,2
124,1
115,4
138,2
193,1
483,1
241,1
130,4
94,4
304,1
271,1
82,3
219,1
204,1
465,1
300,1
341,1
256,1
135,2
173,2
325,1
140,1
106,4
164,1
141,3
262,1
165,2
175,1
160,1
195,1
86,1
167,1
197,1
126,1
154,1
277,1
177,1
303,1
257,1
378,1
134,1
144,1
230,1
